year,month,avg_temp
2000,Jan,25.3
2001,Jan,24.5
2002,Jan,31.9
2003,Jan,21.3
2004,Jan,20.3
2005,Jan,24.5
2006,Jan,35.8
2007,Jan,27.9
2008,Jan,23.5
2009,Jan,15.8
2010,Jan,21.9
2011,Jan,20.6
2012,Jan,30.2
2013,Jan,26.6
2014,Jan,15.7
2015,Jan,22.3
2016,Jan,24.7
2017,Jan,28.8
2018,Jan,24.6
2019,Jan,21.0
2020,Jan,30.1
2021,Jan,29.2
2022,Jan,20.6
2000,Feb,34.1
2001,Feb,26.1
2002,Feb,32.1
2003,Feb,23.6
2004,Feb,27.4
2005,Feb,32.4
2006,Feb,28.2
2007,Feb,17.9
2008,Feb,23.0
2009,Feb,28.2
2010,Feb,26.7
2011,Feb,26.2
2012,Feb,32.9
2013,Feb,26.1
2014,Feb,17.3
2015,Feb,14.6
2016,Feb,30.4
2017,Feb,38.0
2018,Feb,28.8
2019,Feb,25.9
2020,Feb,30.2
2021,Feb,20.2
2022,Feb,27.4
2000,Mar,44.2
2001,Mar,34.1
2002,Mar,34.5
2003,Mar,36.7
2004,Mar,41.1
2005,Mar,35.0
2006,Mar,38.3
2007,Mar,42.5
2008,Mar,34.9
2009,Mar,39.6
2010,Mar,41.7
2011,Mar,36.3
2012,Mar,53.5
2013,Mar,32.6
2014,Mar,31.7
2015,Mar,35.4
2016,Mar,43.3
2017,Mar,39.5
2018,Mar,36.9
2019,Mar,34.3
2020,Mar,42.8
2021,Mar,44.2
2022,Mar,40.7
2000,Apr,47.2
2001,Apr,52.5
2002,Apr,49.9
2003,Apr,48.3
2004,Apr,50.4
2005,Apr,51.5
2006,Apr,53.1
2007,Apr,46.8
2008,Apr,49.4
2009,Apr,47.3
2010,Apr,54.6
2011,Apr,47.7
2012,Apr,50.7
2013,Apr,46.9
2014,Apr,48.6
2015,Apr,49.4
2016,Apr,47.8
2017,Apr,53.7
2018,Apr,41.2
2019,Apr,49.7
2020,Apr,48.4
2021,Apr,51.9
2022,Apr,47.0
2000,May,62.0
2001,May,60.0
2002,May,55.2
2003,May,56.2
2004,May,60.0
2005,May,57.1
2006,May,59.6
2007,May,63.8
2008,May,55.5
2009,May,59.9
2010,May,61.7
2011,May,57.9
2012,May,65.6
2013,May,61.0
2014,May,60.4
2015,May,60.4
2016,May,59.7
2017,May,57.9
2018,May,66.1
2019,May,58.0
2020,May,59.9
2021,May,60.2
2022,May,63.7
2000,Jun,67.2
2001,Jun,67.4
2002,Jun,70.9
2003,Jun,65.5
2004,Jun,67.1
2005,Jun,74.2
2006,Jun,68.3
2007,Jun,71.3
2008,Jun,70.8
2009,Jun,67.6
2010,Jun,71.2
2011,Jun,69.5
2012,Jun,74.0
2013,Jun,68.5
2014,Jun,70.9
2015,Jun,67.4
2016,Jun,71.6
2017,Jun,72.4
2018,Jun,71.5
2019,Jun,67.8
2020,Jun,74.0
2021,Jun,74.3
2022,Jun,72.2
2000,Jul,71.0
2001,Jul,74.5
2002,Jul,77.0
2003,Jul,72.3
2004,Jul,71.2
2005,Jul,75.6
2006,Jul,76.5
2007,Jul,73.7
2008,Jul,74.0
2009,Jul,69.4
2010,Jul,77.6
2011,Jul,79.0
2012,Jul,81.0
2013,Jul,73.2
2014,Jul,70.4
2015,Jul,72.3
2016,Jul,75.5
2017,Jul,74.6
2018,Jul,76.2
2019,Jul,77.1
2020,Jul,79.2
2021,Jul,74.4
2022,Jul,75.3
2000,Aug,72.4
2001,Aug,73.2
2002,Aug,73.1
2003,Aug,73.6
2004,Aug,67.5
2005,Aug,74.3
2006,Aug,74.3
2007,Aug,74.8
2008,Aug,72.7
2009,Aug,70.5
2010,Aug,76.7
2011,Aug,73.5
2012,Aug,73.3
2013,Aug,73.0
2014,Aug,73.7
2015,Aug,71.8
2016,Aug,75.8
2017,Aug,71.5
2018,Aug,76.3
2019,Aug,72.9
2020,Aug,76.8
2021,Aug,77.1
2022,Aug,74.4
2000,Sep,64.7
